bank,product,type,apy_percent,min_deposit,monthly_fee,fee_waiver,rate_as_of
"Bank of America","Advantage Savings (Base)",savings,0.01,100.0,8.0,https://www.bankofamerica.com/deposits/savings/savings-accounts/,2025-11-20
"Bank of America","Advantage Savings – Gold",savings,0.02,100.0,8.0,https://www.bankofamerica.com/deposits/savings/savings-accounts/,2025-11-20
"Bank of America","Advantage Savings – Platinum",savings,0.03,100.0,8.0,https://www.bankofamerica.com/deposits/savings/savings-accounts/,2025-11-20
"Bank of America","Advantage Savings – Platinum Honors/Diamond",savings,0.04,100.0,8.0,https://www.bankofamerica.com/deposits/savings/savings-accounts/,2025-11-20
"Capital One","360 Performance Savings",savings,3.4,,,"",2025-11-09
Chase,"Chase Premier Savings",savings,0.02,,25.0,https://www.chase.com/personal/savings/interest-savings#monthly-service-fee,2025-09-21
Chase,"Chase Savings",savings,0.01,,5.0,https://personal.chase.com/personal/savings,2025-09-21
Citibank,"Citi® Accelerate Savings",savings,3.35,,4.5,https://www.citi.com/banking/current-interest-rates/savings-accounts,2025-11-09
Citibank,"Citi® Savings",savings,0.03,,4.5,https://www.citi.com/banking/current-interest-rates/savings-accounts,2025-11-09
"Wells Fargo","Platinum Savings",savings,0.01,25.0,12.0,https://www.wellsfargo.com/savings-cds/platinum/,2025-11-04
"Wells Fargo","Way2Save® Savings",savings,0.01,,5.0,https://www.wellsfargo.com/savings-cds/way2save/,2025-11-04
